game_date,game_id,game_status_text,home_team_id_x,away_team_id,season,team_id_home,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,team_id_away,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_team_season_wins,home_win_x,home_team_abbr,away_team_abbr,home_team_id_y,home_opp_team_id,home_is_home,home_pts_for,home_pts_against,home_win_y,home_team_pts,home_team_reb,home_team_ast,home_team_turnovers,home_team_fgm,home_team_fga,home_team_fg3m,home_team_fg3a,home_team_ftm,home_team_fta,home_team_fg_pct,home_team_fg3_pct,home_team_ft_pct,home_team_efg_pct,home_opp_pts,home_opp_reb,home_opp_ast,home_opp_turnovers,home_opp_fgm,home_opp_fga,home_opp_fg3m,home_opp_fg3a,home_opp_ftm,home_opp_fta,home_opp_fg_pct,home_opp_fg3_pct,home_opp_ft_pct,home_opp_efg_pct,home_rest_days,home_team_name,home_pregame_standingsdate,home_team_pts_prev,home_team_reb_prev,home_team_ast_prev,home_team_turnovers_prev,home_team_fga_prev,home_team_fgm_prev,home_team_fg3a_prev,home_team_fg3m_prev,home_team_fta_prev,home_team_ftm_prev,home_team_fg_pct_prev,home_team_fg3_pct_prev,home_team_ft_pct_prev,home_team_efg_pct_prev,home_team_pts_prev_r3,home_team_reb_prev_r3,home_team_ast_prev_r3,home_team_turnovers_prev_r3,home_team_fga_prev_r3,home_team_fgm_prev_r3,home_team_fg3a_prev_r3,home_team_fg3m_prev_r3,home_team_fta_prev_r3,home_team_ftm_prev_r3,home_team_fg_pct_prev_r3,home_team_fg3_pct_prev_r3,home_team_ft_pct_prev_r3,home_team_efg_pct_prev_r3,home_team_pts_prev_r5,home_team_reb_prev_r5,home_team_ast_prev_r5,home_team_turnovers_prev_r5,home_team_fga_prev_r5,home_team_fgm_prev_r5,home_team_fg3a_prev_r5,home_team_fg3m_prev_r5,home_team_fta_prev_r5,home_team_ftm_prev_r5,home_team_fg_pct_prev_r5,home_team_fg3_pct_prev_r5,home_team_ft_pct_prev_r5,home_team_efg_pct_prev_r5,home_team_pts_prev_r10,home_team_reb_prev_r10,home_team_ast_prev_r10,home_team_turnovers_prev_r10,home_team_fga_prev_r10,home_team_fgm_prev_r10,home_team_fg3a_prev_r10,home_team_fg3m_prev_r10,home_team_fta_prev_r10,home_team_ftm_prev_r10,home_team_fg_pct_prev_r10,home_team_fg3_pct_prev_r10,home_team_ft_pct_prev_r10,home_team_efg_pct_prev_r10,away_opp_team_id,away_is_home,away_pts_for,away_pts_against,away_win,away_team_pts,away_team_reb,away_team_ast,away_team_turnovers,away_team_fgm,away_team_fga,away_team_fg3m,away_team_fg3a,away_team_ftm,away_team_fta,away_team_fg_pct,away_team_fg3_pct,away_team_ft_pct,away_team_efg_pct,away_opp_pts,away_opp_reb,away_opp_ast,away_opp_turnovers,away_opp_fgm,away_opp_fga,away_opp_fg3m,away_opp_fg3a,away_opp_ftm,away_opp_fta,away_opp_fg_pct,away_opp_fg3_pct,away_opp_ft_pct,away_opp_efg_pct,away_rest_days,away_team_name,away_pregame_standingsdate,away_team_pts_prev,away_team_reb_prev,away_team_ast_prev,away_team_turnovers_prev,away_team_fga_prev,away_team_fgm_prev,away_team_fg3a_prev,away_team_fg3m_prev,away_team_fta_prev,away_team_ftm_prev,away_team_fg_pct_prev,away_team_fg3_pct_prev,away_team_ft_pct_prev,away_team_efg_pct_prev,away_team_pts_prev_r3,away_team_reb_prev_r3,away_team_ast_prev_r3,away_team_turnovers_prev_r3,away_team_fga_prev_r3,away_team_fgm_prev_r3,away_team_fg3a_prev_r3,away_team_fg3m_prev_r3,away_team_fta_prev_r3,away_team_ftm_prev_r3,away_team_fg_pct_prev_r3,away_team_fg3_pct_prev_r3,away_team_ft_pct_prev_r3,away_team_efg_pct_prev_r3,away_team_pts_prev_r5,away_team_reb_prev_r5,away_team_ast_prev_r5,away_team_turnovers_prev_r5,away_team_fga_prev_r5,away_team_fgm_prev_r5,away_team_fg3a_prev_r5,away_team_fg3m_prev_r5,away_team_fta_prev_r5,away_team_ftm_prev_r5,away_team_fg_pct_prev_r5,away_team_fg3_pct_prev_r5,away_team_ft_pct_prev_r5,away_team_efg_pct_prev_r5,away_team_pts_prev_r10,away_team_reb_prev_r10,away_team_ast_prev_r10,away_team_turnovers_prev_r10,away_team_fga_prev_r10,away_team_fgm_prev_r10,away_team_fg3a_prev_r10,away_team_fg3m_prev_r10,away_team_fta_prev_r10,away_team_ftm_prev_r10,away_team_fg_pct_prev_r10,away_team_fg3_pct_prev_r10,away_team_ft_pct_prev_r10,away_team_efg_pct_prev_r10,y_home_win
2022-12-22,22200477,Final,1610612740,1610612759,2022,1610612740,126,0.484,0.926,0.382,25,46,1610612759,117,0.478,0.815,0.321,23,44,1,1,NOP,SAS,1610612740,1610612759,TRUE,126,117,1,126,46,25,17,44,91,13,34,25,27,0.483516484,0.382352941,0.925925926,0.554945055,117,44,23,17,43,90,9,28,22,27,0.477777778,0.321428571,0.814814815,0.527777778,3,New Orleans,2022-12-22 00:00:00,119,44,30,15,99,42,45,18,24,17,0.424242424,0.4,0.708333333,0.515151515,120.6666667,43,27,15.66666667,91.66666667,44.66666667,35,14.66666667,21.66666667,16.66666667,0.494468494,0.422222222,0.766330891,0.575276575,118.2,43,27.4,15.8,90.8,44.2,31.4,11.2,25.2,18.6,0.492530059,0.346962963,0.743131868,0.554618308,118.7,45,26.7,14.7,88.8,43.2,31.2,10.9,27.2,21.4,0.48967962,0.346044104,0.788373812,0.551325469,1610612740,FALSE,117,126,0,117,44,23,17,43,90,9,28,22,27,0.477777778,0.321428571,0.814814815,0.527777778,126,46,25,17,44,91,13,34,25,27,0.483516484,0.382352941,0.925925926,0.554945055,3,San Antonio,2022-12-22 00:00:00,124,46,30,19,83,46,34,17,19,15,0.554216867,0.5,0.789473684,0.656626506,112.3333333,41.33333333,27.33333333,15.66666667,85.66666667,41.33333333,30,12.66666667,23.66666667,17,0.482235274,0.416560238,0.708665603,0.556917185,112.8,43.2,26.2,15.4,86.4,42.4,27.6,10.8,23.6,17.2,0.491878833,0.383269476,0.717538072,0.554940689,112.5,43.4,26.1,14.4,89.7,42.8,31.8,11.2,21.2,15.7,0.478856182,0.350981492,0.738657925,0.541285168,1
2022-12-22,22200478,Final,1610612762,1610612764,2022,1610612762,120,0.488,0.952,0.457,16,40,1610612764,112,0.561,0.765,0.333,20,37,1,1,UTA,WAS,1610612762,1610612764,TRUE,120,112,1,120,40,16,11,42,86,16,35,20,21,0.488372093,0.457142857,0.952380952,0.581395349,112,37,20,10,46,82,7,21,13,17,0.56097561,0.333333333,0.764705882,0.603658537,2,Utah,2022-12-22 00:00:00,126,43,27,12,93,47,46,20,19,12,0.505376344,0.434782609,0.631578947,0.612903226,107.3333333,35.66666667,23.33333333,13.33333333,90.66666667,40.66666667,42.33333333,15.33333333,16,10.66666667,0.44865383,0.356441929,0.623569794,0.533425023,115,42,25,15,93.4,42.6,44.2,15.8,19.4,14,0.455642277,0.354290689,0.669637372,0.540633317,116.7,42.3,24.2,15.3,89.5,42.1,41.1,15,22.8,17.5,0.471184979,0.366362066,0.732614696,0.55522142,1610612762,FALSE,112,120,0,112,37,20,10,46,82,7,21,13,17,0.56097561,0.333333333,0.764705882,0.603658537,120,40,16,11,42,86,16,35,20,21,0.488372093,0.457142857,0.952380952,0.581395349,2,Washington,2022-12-22 00:00:00,113,41,22,9,80,38,27,11,37,26,0.475,0.407407407,0.702702703,0.54375,107.6666667,43.66666667,22,11,86.33333333,39.33333333,30.33333333,10,24.66666667,19,0.455576441,0.341272555,0.805815431,0.51389411,110.2,39.8,25.4,13,85.8,40.6,32.2,12,23.8,17,0.472511256,0.373167172,0.732896373,0.542305029,111.5,42.5,24.5,13.5,86.6,41,32.7,11.7,24.2,17.8,0.473856821,0.359162088,0.748506436,0.54175477,1
2022-12-21,22200466,Final,1610612739,1610612749,2022,1610612739,114,0.482,0.786,0.313,22,37,1610612749,106,0.47,0.682,0.433,20,46,1,1,CLE,MIL,1610612739,1610612749,TRUE,114,106,1,114,37,22,10,41,85,10,32,22,28,0.482352941,0.3125,0.785714286,0.541176471,106,46,20,19,39,83,13,30,15,22,0.469879518,0.433333333,0.681818182,0.548192771,2,Cleveland,2022-12-21 00:00:00,122,45,24,21,70,43,26,15,26,21,0.614285714,0.576923077,0.807692308,0.721428571,113.3333333,43.33333333,23.33333333,13,80,40.33333333,31,12,26.66666667,20.66666667,0.513272543,0.407660142,0.757867133,0.592099931,111.2,43.4,23.4,12,82,41.4,28,9.8,23.2,18.6,0.510917818,0.354741012,0.800850311,0.573905443,106.5,41.7,22.6,12.6,83.4,39.9,30.6,10.2,21,16.5,0.480917893,0.335082146,0.79839924,0.543906171,1610612739,FALSE,106,114,0,106,46,20,19,39,83,13,30,15,22,0.469879518,0.433333333,0.681818182,0.548192771,114,37,22,10,41,85,10,32,22,28,0.482352941,0.3125,0.785714286,0.541176471,2,Milwaukee,2022-12-21 00:00:00,128,44,26,17,81,45,40,13,31,25,0.555555556,0.325,0.806451613,0.635802469,117.3333333,45.66666667,26,13.33333333,88.33333333,42.66666667,42.66666667,14.66666667,23,17.33333333,0.487076438,0.352894737,0.763766699,0.570208388,114.4,48.8,23.6,15.2,87.4,41.2,40,13.6,23.8,18.4,0.475335294,0.350309416,0.776315575,0.553181943,114.7,47.9,26.3,14.5,88.2,41.7,38,13.5,22.6,17.8,0.474147798,0.361488834,0.789970262,0.550603156,1
2022-12-21,22200467,Final,1610612755,1610612765,2022,1610612755,113,0.441,0.909,0.297,27,49,1610612765,93,0.392,0.735,0.261,15,46,1,1,PHI,DET,1610612755,1610612765,TRUE,113,93,1,113,49,27,12,41,93,11,37,20,22,0.440860215,0.297297297,0.909090909,0.5,93,46,15,22,31,79,6,23,25,34,0.392405063,0.260869565,0.735294118,0.430379747,2,Philadelphia,2022-12-21 00:00:00,104,41,22,16,80,32,42,15,27,25,0.4,0.357142857,0.925925926,0.49375,115,44,26.33333333,14,83,38,38.33333333,15.33333333,28.33333333,23.66666667,0.45690943,0.403007519,0.836718439,0.549317227,121.8,43,28,15.6,84.4,41.6,36.4,15.4,27.8,23.2,0.491655698,0.428100808,0.837258336,0.582763027,116.3,40.6,26,15.2,84,40.8,33.2,13.5,25.5,21.2,0.486453823,0.403228818,0.838345944,0.566322824,1610612755,FALSE,93,113,0,93,46,15,22,31,79,6,23,25,34,0.392405063,0.260869565,0.735294118,0.430379747,113,49,27,12,41,93,11,37,20,22,0.440860215,0.297297297,0.909090909,0.5,1,Detroit,2022-12-21 00:00:00,111,43,22,14,81,41,25,9,27,20,0.50617284,0.36,0.740740741,0.561728395,115,43.33333333,21.33333333,12.66666667,84.66666667,40.66666667,28,9,30.66666667,24.66666667,0.480756365,0.323831418,0.80004451,0.534034242,120.6,44.4,23.4,13,88,42.6,33.8,12.4,29,23,0.484152744,0.359854406,0.794732588,0.553753879,116.3,44.2,23.9,13.5,88.5,41.5,35.7,13.5,25.7,19.8,0.468693486,0.373411524,0.767690368,0.544574857,1
2022-12-21,22200468,Final,1610612737,1610612741,2022,1610612737,108,0.429,1,0.378,22,47,1610612741,110,0.5,0.773,0.292,20,47,0,0,ATL,CHI,1610612737,1610612741,TRUE,108,110,0,108,47,22,15,39,91,14,37,16,16,0.428571429,0.378378378,1,0.505494505,110,47,20,11,43,86,7,24,17,22,0.5,0.291666667,0.772727273,0.540697674,2,Atlanta,2022-12-21 00:00:00,126,41,29,10,94,48,32,12,20,18,0.510638298,0.375,0.9,0.574468085,125,40.33333333,28,11.66666667,85.66666667,44.33333333,32,13,27,23.33333333,0.519101655,0.411699507,0.8708061,0.596438857,120.2,41,26.4,12.8,91.8,43.4,34.4,12.8,24.8,20.6,0.478533206,0.378551236,0.829410067,0.549739295,116.2,42.8,24.2,13.5,92.1,43.9,33.5,11.1,21.4,17.3,0.47945042,0.335349855,0.801075371,0.540268906,1610612737,FALSE,110,108,1,110,47,20,11,43,86,7,24,17,22,0.5,0.291666667,0.772727273,0.540697674,108,47,22,15,39,91,14,37,16,16,0.428571429,0.378378378,1,0.505494505,1,Chicago,2022-12-21 00:00:00,113,39,24,16,73,40,31,13,24,20,0.547945205,0.419354839,0.833333333,0.636986301,110,36,27,15.66666667,79.33333333,40.66666667,33,13.66666667,18.66666667,15,0.512734982,0.413469157,0.819444444,0.598692403,114.4,38.4,26.8,15.4,84.4,43.2,30.8,11.4,20.2,16.6,0.513164799,0.36421906,0.829611331,0.582453537,115.6,39.5,26.2,14.3,85.8,43.7,28.8,10.8,21.8,17.4,0.510534417,0.366803477,0.806569668,0.574421104,0
2022-12-21,22200469,Final,1610612738,1610612754,2022,1610612738,112,0.386,0.84,0.317,26,62,1610612754,117,0.469,0.778,0.462,27,47,0,0,BOS,IND,1610612738,1610612754,TRUE,112,117,0,112,62,26,16,39,101,13,41,21,25,0.386138614,0.317073171,0.84,0.45049505,117,47,27,14,46,98,18,39,7,9,0.469387755,0.461538462,0.777777778,0.56122449,3,Boston,2022-12-21 00:00:00,92,54,22,16,89,31,47,12,21,18,0.348314607,0.255319149,0.857142857,0.415730337,107.6666667,47.66666667,22,14.66666667,92.33333333,37.33333333,47,14,23.66666667,19,0.402429655,0.296760972,0.789390756,0.47717568,104.6,43.6,22,13.8,88,36.6,44,12.6,24.6,18.8,0.41565622,0.28421043,0.758249838,0.486139044,111.7,45.7,24.2,14.4,88.2,39.7,42.9,14.4,22.8,17.9,0.449840425,0.335467788,0.787125397,0.531357812,1610612738,FALSE,117,112,1,117,47,27,14,46,98,18,39,7,9,0.469387755,0.461538462,0.777777778,0.56122449,112,62,26,16,39,101,13,41,21,25,0.386138614,0.317073171,0.84,0.45049505,3,Indiana,2022-12-21 00:00:00,106,44,20,14,90,39,38,13,23,15,0.433333333,0.342105263,0.652173913,0.505555556,114.3333333,37,28,13.66666667,85.66666667,41.66666667,37.66666667,13.33333333,22.33333333,17.66666667,0.48802682,0.352639076,0.795636918,0.565668902,111.6,37.2,26,14.8,84.2,40,39.2,14.4,22.2,17.2,0.474290403,0.363448248,0.777382151,0.559505585,112.5,38.3,24.8,14.8,86,40.5,38.5,14.6,21.8,16.9,0.471093668,0.374923345,0.774953702,0.556367467,0
2022-12-21,22200470,Final,1610612751,1610612744,2022,1610612751,143,0.643,0.875,0.636,42,32,1610612744,113,0.494,0.76,0.364,32,36,1,1,BKN,GSW,1610612751,1610612744,TRUE,143,113,1,143,32,42,14,54,84,21,33,14,16,0.642857143,0.636363636,0.875,0.767857143,113,36,32,21,41,83,12,33,19,25,0.493975904,0.363636364,0.76,0.56626506,3,Brooklyn,2022-12-21 00:00:00,124,35,26,13,80,44,29,15,23,21,0.55,0.517241379,0.913043478,0.64375,118.3333333,37.66666667,24.33333333,12.66666667,81.66666667,44.66666667,27.33333333,10.66666667,21.33333333,18.33333333,0.549881727,0.386563841,0.861513688,0.615849842,122.2,42,24.4,15.4,85.6,46.2,28,10.8,23.4,19,0.542362771,0.382890685,0.822562974,0.606606291,116.1,41.2,24.1,14.4,84.5,44.1,28.3,10.6,21.7,17.3,0.523042416,0.373595954,0.800667102,0.586308555,1610612751,FALSE,113,143,0,113,36,32,21,41,83,12,33,19,25,0.493975904,0.363636364,0.76,0.56626506,143,32,42,14,54,84,21,33,14,16,0.642857143,0.636363636,0.875,0.767857143,1,Golden State,2022-12-21 00:00:00,94,29,23,19,74,35,35,12,13,12,0.472972973,0.342857143,0.923076923,0.554054054,108.6666667,39.33333333,28.33333333,17.66666667,83,39,39,15.66666667,17.33333333,15,0.472910263,0.399914814,0.871794872,0.567116171,111.2,40.2,27.4,18.8,86,39,40,16.2,20,17,0.456769413,0.404797373,0.853385453,0.550624659,114.5,42.8,28.1,16.5,88.6,41.2,42.7,16.6,19.7,15.5,0.467032601,0.386687731,0.776857486,0.561283327,1
2022-12-21,22200471,Final,1610612752,1610612761,2022,1610612752,106,0.553,0.611,0.423,25,38,1610612761,113,0.447,0.909,0.265,17,38,0,0,NYK,TOR,1610612752,1610612761,TRUE,106,113,0,106,38,25,16,42,76,11,26,11,18,0.552631579,0.423076923,0.611111111,0.625,113,38,17,4,42,94,9,34,20,22,0.446808511,0.264705882,0.909090909,0.494680851,1,New York,2022-12-21 00:00:00,132,47,27,11,87,45,40,17,32,25,0.517241379,0.425,0.78125,0.614942529,118.3333333,48.66666667,19.66666667,12.33333333,87.33333333,40.33333333,36.66666667,14,31.33333333,23.66666667,0.46309827,0.373018648,0.755555556,0.542526678,119,49.8,20.6,13.2,88.4,41.2,35.8,13.6,29.2,23,0.466647701,0.375407827,0.791111111,0.54307373,112.4,50.6,20.7,13.7,88.1,39.6,33.9,11.9,26.9,21.3,0.450140405,0.342660874,0.791269841,0.517984114,1610612752,FALSE,113,106,1,113,38,17,4,42,94,9,34,20,22,0.446808511,0.264705882,0.909090909,0.494680851,106,38,25,16,42,76,11,26,11,18,0.552631579,0.423076923,0.611111111,0.625,2,Toronto,2022-12-21 00:00:00,101,50,24,15,88,37,40,11,20,16,0.420454545,0.275,0.8,0.482954545,109,41.66666667,20.66666667,11.66666667,89,39.33333333,32.33333333,11,23.66666667,19.33333333,0.443200805,0.347979798,0.811598746,0.504698299,109.8,38.4,21,10.2,87.2,39,28.6,9,27.2,22.8,0.445920483,0.313930736,0.831013829,0.497201958,112,41.1,21.9,11.1,88.3,40.2,30.2,9.3,27.8,22.3,0.4551657,0.309359208,0.799325096,0.507611652,0
2022-12-21,22200472,Final,1610612745,1610612753,2022,1610612745,110,0.466,0.647,0.395,22,49,1610612753,116,0.451,0.697,0.297,19,45,0,0,HOU,ORL,1610612745,1610612753,TRUE,110,116,0,110,49,22,16,41,88,17,43,11,17,0.465909091,0.395348837,0.647058824,0.5625,116,45,19,11,41,91,11,37,23,33,0.450549451,0.297297297,0.696969697,0.510989011,2,Houston,2022-12-21 00:00:00,105,41,23,11,94,40,24,5,31,20,0.425531915,0.208333333,0.64516129,0.45212766,102.6666667,47.66666667,21.33333333,13.33333333,92.66666667,40,28.66666667,5.666666667,25.66666667,17,0.431205674,0.194836294,0.660625095,0.461583924,103.2,51.8,20.6,14.8,90,38.8,29.6,7,24.6,18.6,0.430586109,0.229917649,0.762061332,0.470221281,108,47.7,19.9,15.2,90.2,39.7,30.9,8.2,26.3,20.4,0.44025608,0.258654931,0.778484272,0.48602732,1610612745,FALSE,116,110,1,116,45,19,11,41,91,11,37,23,33,0.450549451,0.297297297,0.696969697,0.510989011,110,49,22,16,41,88,17,43,11,17,0.465909091,0.395348837,0.647058824,0.5625,2,Orlando,2022-12-21 00:00:00,125,45,29,8,95,45,34,12,25,23,0.473684211,0.352941176,0.92,0.536842105,112.3333333,48,22.66666667,12.66666667,90.66666667,40,32,11,24,21.33333333,0.439647867,0.346487184,0.890626566,0.500439829,116.6,46.4,24.2,12.6,88.4,40.6,32.6,12.6,26.6,22.8,0.458370483,0.38710378,0.862332929,0.530231779,111.8,44.9,22.8,13.8,86,39.7,30,10.8,25.2,21.6,0.465105239,0.35965318,0.849056306,0.528579296,0
2022-12-21,22200473,Final,1610612750,1610612742,2022,1610612750,99,0.494,0.7,0.267,23,39,1610612742,104,0.453,0.852,0.333,17,39,0,0,MIN,DAL,1610612750,1610612742,TRUE,99,104,0,99,39,23,13,42,85,8,30,7,10,0.494117647,0.266666667,0.7,0.541176471,104,39,17,13,34,75,13,39,23,27,0.453333333,0.333333333,0.851851852,0.54,2,Minnesota,2022-12-21 00:00:00,116,44,19,10,89,42,31,12,24,20,0.471910112,0.387096774,0.833333333,0.539325843,126,42,26.66666667,12.66666667,87.66666667,47.33333333,33,15.66666667,21.66666667,15.66666667,0.540445133,0.467326832,0.735277778,0.629966852,115.6,41.2,24,13,86,43.8,29.6,12.2,22.8,15.8,0.506975595,0.390833809,0.693096491,0.57684672,117.2,40.2,24.8,15.1,86.3,43.8,29.8,11.5,24,18.1,0.507057454,0.377780338,0.750011284,0.573538498,1610612750,FALSE,104,99,1,104,39,17,13,34,75,13,39,23,27,0.453333333,0.333333333,0.851851852,0.54,99,39,23,13,42,85,8,30,7,10,0.494117647,0.266666667,0.7,0.541176471,2,Dallas,2022-12-21 00:00:00,106,42,23,15,76,31,45,19,31,25,0.407894737,0.422222222,0.806451613,0.532894737,111.6666667,42.33333333,22.33333333,12.66666667,81.66666667,37.33333333,45.66666667,17.33333333,25.33333333,19.66666667,0.457513734,0.382316441,0.761394802,0.564626528,109.2,42,21.6,12.8,82.4,36,45.8,17.4,25.4,19.8,0.436757586,0.379292399,0.770990727,0.542248745,113.3,41.6,23,12,84.6,38.5,45.1,17.2,24.8,19.1,0.45590621,0.382493172,0.762061002,0.557859582,0
